"Nom de la demande:Mons_2010_2011";;;;;;;;
"Pas de temps:Journalier";;;;;;;;
"Date de début:01/01/2010";;;;;;;;
"Date de fin:31/12/2011";;;;;;;;
"Station(s):51242002";;;;;;;;
;;;;;;;;
"ETPP:EVAPOTRANSPIRATION PENMAN (MM/DAY)";;;;;;;;
"RG: GLOBAL RADIATION (MEGAJOULES/M2)";;;;;;;;
"RR:RAINFALL (MM)";;;;;;;;
"TN:MINIMAL TEMPERATURE (°C)";;;;;;;;
"TX:MAXIMAL TEMPERATURE (°C)";;;;;;;;
;;;;;;;;
;;;;;;;;
"NUM_POSTE";"AN";"MOIS";"JOUR";"ETPP";"RG";"RR";"TN";"TX"
51242002;2010;6;20;2.5;11.56;0.5;8.3;14.5
51242002;2010;6;21;3.3;18.44;0;8.3;17.7
51242002;2010;6;22;4.6;29.08;0;6.9;22.1
51242002;2010;6;23;5;28;0.5;9.8;25.5
51242002;2010;6;24;5.5;29.68;0;11.5;26.4
51242002;2010;6;25;5.2;28.47;0;10.9;27.4
51242002;2010;6;26;5.6;26.68;0;14.2;28.3
51242002;2010;6;27;5.9;29.38;0;13.9;30
51242002;2010;6;28;5.3;24.3;0;15;30.4
51242002;2010;6;29;5.7;26.63;0;15.9;27
51242002;2010;6;30;5.3;26.9;0;13.4;28.3
51242002;2010;7;1;6;26.54;0;15.1;32.3
51242002;2010;7;2;6.6;25.69;1;18.4;34.6
51242002;2010;7;3;2.6;10.57;8.5;17.1;23.2
51242002;2010;7;4;5.9;30.55;0;13;25.7
51242002;2010;7;5;4.1;19.51;0;12.2;24.3
51242002;2010;7;6;4.4;24.43;0;9;24.2
51242002;2010;7;7;5.5;29.2;0;11;28
51242002;2010;7;8;6;29.38;0;13.2;31.9
51242002;2010;7;9;4.7;18.96;0;17.1;31.4
51242002;2010;7;10;4;16.43;0;16;29.9
51242002;2010;7;11;6.9;29.18;3.5;17.5;32
51242002;2010;7;12;3.7;14.79;14.5;18.3;24.5
51242002;2010;7;13;5.3;23.76;0;15.7;27.5
51242002;2010;7;14;3.4;13.72;21.5;13.9;25.6
51242002;2010;7;15;5.8;23.1;0;14.4;24.2
51242002;2010;7;16;3.3;12.46;0.5;13.7;23.3
51242002;2010;7;17;4;19.26;0;11.7;21.8
51242002;2010;7;18;4.9;29.35;0;7.2;25.1
51242002;2010;7;19;5.5;28.43;0;11.4;28.8
51242002;2010;7;20;5.8;24.45;0;15.2;30.7
51242002;2010;7;21;3.6;15.03;0;14.2;24.3
51242002;2010;7;22;4.9;21.83;4;14.1;25.5
51242002;2010;7;23;3.5;15.4;0;14;21.5
51242002;2010;7;24;3.3;17.39;0;10.3;22.8
51242002;2010;7;25;3.3;15.07;0;14.2;21.8
51242002;2010;7;26;2.8;12.05;5;15.2;21.4
51242002;2010;7;27;2.5;11.28;2;14.7;23.6
51242002;2010;7;28;5.2;22.94;0;17;24.2
51242002;2010;7;29;3.2;12.6;0;14.1;20.9
51242002;2010;7;30;4.4;22.12;0;12.3;25.3
51242002;2010;7;31;4.5;16.45;0.5;16.1;27.8
51242002;2010;8;1;3.4;15.54;0;13.3;22.9
51242002;2010;8;2;3.5;17.72;1;13.3;22.4
51242002;2010;8;3;3.5;18.22;0;10;24.5
51242002;2010;8;4;2.6;10.62;4.5;12.6;20.8
51242002;2010;8;5;4.6;24.09;0;12.4;21.4
